id,premises_name,legal_entity,address,town,region
after-hours-pharmacy-capital-coast-and-hutt-valley,After Hours Pharmacy,Wellington Associated Pharmacists Limited,"Ground Floor, 17 Adelaide Road, Mount Cook, Wellington, 6021, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
ahuriri-pharmacy-hawke-s-bay,Ahuriri Pharmacy,Ahuriri Pharmacy Limited,"Shop 1/91 Bridge Street, Ahuriri, Napier, 4110, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
alexander-pharmacy-capital-coast-and-hutt-valley,Alexander Pharmacy,Liu Pharmacy Limited,"191B Willis Street Te Aro Wellington 6011, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
andrew-spence-pharmacy-hawke-s-bay,Andrew Spence Pharmacy,APS Pharmacy Limited,"30 Maadi Road Onekawa Napier 4110, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
aramoho-pharmacy-whanganui,Aramoho Pharmacy,Aramoho Pharmacy Limited,"142 Somme Parade Aramoho Whanganui 4500, Whanganui",Whanganui,Central | Te Ikaroa
avalon-medical-centre-pharmacy-limited-capital-coast-and-hutt-valley,Avalon Medical Centre Pharmacy Limited,Avalon Medical Centre Pharmacy Limited,"838 High Street Boulcott Lower Hutt 5011, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
bargain-chemist-lyall-bay-capital-coast-and-hutt-valley,Bargain Chemist Lyall Bay,BCH 30 Limited,"Retail 3, Airport Retail Park, cnr Titirangi Road and George Bolt Street Lyall Bay Wellington 6022, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
bargain-chemist-petone-capital-coast-and-hutt-valley,Bargain Chemist Petone,BCH 23 Limited,"Unit 1, 112 Jackson Street, Petone, Lower Hutt, 5012, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
bargain-chemist-porirua-capital-coast-and-hutt-valley,Bargain Chemist Porirua,BCH P Limited,"Shop 3, Mega Centre 24 Parumoana Street Porirua City Centre Porirua 5022, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
bargain-chemist-upper-hutt-capital-coast-and-hutt-valley,Bargain Chemist Upper Hutt,BCH 22 Limited,"Tenancy 1, 7-11 Queen Street Upper Hutt 5018, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
bargain-chemist-wellington-capital-coast-and-hutt-valley,Bargain Chemist Wellington,BC WGT Limited,"73 Manners Street Te Aro Wellington 6011, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
bay-plaza-pharmacy-hawke-s-bay,Bay Plaza Pharmacy,Hastings Plaza Pharmacy Limited,"Shop 14, Hastings Plaza 221 Russell Street North Hastings 4122, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
bay-view-village-pharmacy-hawke-s-bay,Bay View Village Pharmacy,Bay View Village Pharmacy Limited,"44A Petane Road Bay View Napier 4104, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
berrys-health-centre-pharmacy-midcentral,Berrys Health Centre Pharmacy,Pharmacy Solutions (2025) Limited,"Horowhenua Health & Wellbeing Hub, 15-23 Durham Street, Levin, 5510, MidCentral",MidCentral,Central | Te Ikaroa
berrys-tararua-pharmacy-midcentral,Berrys Tararua Pharmacy,Pharmacy Solutions (2025) Limited,"540 Queen Street East, Levin, 5510, MidCentral",MidCentral,Central | Te Ikaroa
botanical-road-pharmacy-midcentral,Botanical Road Pharmacy,Botanical Road Pharmacy Limited,"123 Botanical Road Takaro Palmerston North 4412, MidCentral",MidCentral,Central | Te Ikaroa
burns-pharmacy-1991-limited-capital-coast-and-hutt-valley,Burns Pharmacy (1991) Limited,Burns Pharmacy (1991) Limited,"292 Jackson Street, Petone, Lower Hutt, 5012, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
cannons-creek-pharmacy-capital-coast-and-hutt-valley,Cannons Creek Pharmacy,K & CB Govind Limited,"221 Bedford Street Cannons Creek Porirua 5024, Capital, Coast and Hutt Valley","Capital, Coast and Hutt Valley",Central | Te Ikaroa
care-pharmacy-at-totara-hawke-s-bay,Care Pharmacy at Totara,Care Pharmacy 2020 Limited,"307 St Aubyn Street West, Hastings, 4122, Hawke's Bay",Hawke's Bay,Central | Te Ikaroa
carterton-pharmacy-wairarapa,Carterton Pharmacy,Pharmacy Solutions Limited,"100 High Street Carterton 5713, Wairarapa",Wairarapa,Central | Te Ikaroa
central-city-pharmacy-whanganui,Central City Pharmacy,Simpson McNaught Pharmacy Holdings Limited,"121 Victoria Avenue Whanganui 4500, Whanganui",Whanganui,Central | Te Ikaroa
central-drive-in-pharmacy-midcentral,Central Drive-In Pharmacy,Central Pharmacy (2014) Limited,"176 Featherston Street Roslyn Palmerston North 4410, MidCentral",MidCentral,Central | Te Ikaroa
central-feilding-pharmacy-midcentral,Central Feilding Pharmacy,Greenstone Pharmacy Holding Limited,"45 Kimbolton Road, Feilding, 4702, MidCentral",MidCentral,Central | Te Ikaroa
